id,url,linkable_type,linkable_id,created_by_id,last_updated_by_id
2,http://rubydoc.info/github/jnicklas/capybara/master/Capybara,Node,10,1,1
7,http://rubydoc.info/gems/fabrication/0.8.1/frames,Node,13,1,1
57,http://www.codeschool.com/courses/rails-for-zombies,Node,8,1,1
58,http://sandofsky.com/blog/git-workflow.html,Node,5,1,1
59,http://jqueryui.com/demos/dialog/#modal-form,Node,47,1,1
8,http://docs.rubygems.org/,Node,12,1,1
9,http://haml-lang.com/docs/yardoc/file.HAML_REFERENCE.html,Node,17,1,1
10,http://haml-lang.com/tutorial.html,Node,17,1,1
12,http://www.html5rocks.com/en/,Node,25,1,1
14,http://vandenabeele.com/Rails-on-Ubuntu-Jaunty,Node,26,1,1
17,http://jimdrannbauer.com/2011/01/29/rails-3-rspec-cucumber-jquery-devise-mongoid-and-compass/,Node,9,1,1
19,http://jumpstartlab.com/resources/testing-ruby/integration-testing-with-rspec-capybara-and-selenium/,Relationship,17,1,1
20,http://gitimmersion.com/,Node,5,1,1
22,http://www.slideshare.net/mbleigh/twitter-on-rails-1396030,Node,35,1,1
23,http://stackoverflow.com/questions/927358/git-undo-last-commit,Node,5,1,1
24,http://api.rubyonrails.org/classes/ActiveRecord/Base.html,Node,8,1,1
26,http://www.slideshare.net/mbleigh/twitter-on-rails-1396030,Relationship,19,1,1
27,http://bitfluxx.com/2011/05/23/some-rspec-tips-and-best-practices.html,Node,9,1,1
28,http://stackoverflow.com/questions/885414/a-concise-explanation-of-nil-v-empty-v-blank-in-ruby-on-rails,Node,7,1,1
29,http://stackoverflow.com/questions/885414/a-concise-explanation-of-nil-v-empty-v-blank-in-ruby-on-rails,Node,8,1,1
30,http://www.dixis.com/?p=283,Node,9,1,1
32,http://blog.shamess.info/2011/04/30/usernames-and-hashtag-links-in-twitter-api/,Node,35,1,1
34,http://www.arailsdemo.com/posts/41,Node,10,1,1
35,http://lukaszwrobel.pl/blog/ruby-hash-default-value,Node,7,1,1
36,http://www.erikjacobs.com/2009/10/29/twitter-integration-and-parsing-links-with-ruby-on-rails/,Node,35,1,1
40,https://github.com/kellishaver/Glossy-Github-Icon,Node,6,1,1
37,http://daifu-ye.appspot.com/resume,Node,6,1,1
39,http://www.elegantthemes.com/blog/resources/free-social-media-icon-set,Node,6,1,1
41,https://rubygems.org/gems/json_spec,Node,37,1,1
42,http://railscasts.com/episodes/132-helpers-outside-views,Node,8,1,1
43,https://github.com/crowdint/rails3-jquery-autocomplete-app,Node,41,1,1
44,https://github.com/plataformatec/devise/wiki/Example-Applications,Node,43,1,1
45,http://rubydoc.info/github/plataformatec/devise/master/frames,Node,43,1,1
46,http://devcenter.heroku.com/,Node,31,1,1
47,http://blog.heroku.com/,Node,31,1,1
49,https://www.relishapp.com/rspec,Node,9,1,1
50,http://stackapps.com,Node,20,1,1
